SRY,Xmap,Ymap,XH,XYratio
SampleBaseModel_157,0.09579970807877652,0.001953121375828898,0.617862,49.049541551466284
SampleBaseModel_158,0.09596861209661905,0.00195722836958997,0.595309,49.0329149054405
SampleBaseModel_159,0.09261893691912582,0.002050099418360662,0.711194,45.177778252913924
SampleBaseModel_160,0.0949280030545447,0.0020120289546741352,0.575271,47.1802370607132
SampleBaseModel_161,0.09477657833047211,0.0019962653542609145,0.614536,47.476943948446994
SampleBaseModel_162,0.09404739948392846,0.002029472807173048,0.627959,46.3408029669201
SampleBaseModel_163,0.09456516999053143,0.0020051954230261215,0.63309,47.16007672101072
SampleBaseModel_164,0.09466785448214783,0.0020253153789049198,0.63698,46.74227800182626
SampleBaseModel_165,0.09427565528914128,0.002041121201469328,0.616503,46.188171099920815
SampleBaseModel_166,0.09466245447469203,0.0020290602215447787,0.602988,46.65334890978393
SampleBaseModel_167,0.0948727595356097,0.0020082995648306574,0.568222,47.24034262468682
SampleBaseModel_168,0.09286956680458108,0.001820108452560659,0.655555,51.02419401103573
SampleBaseModel_169,0.09240386470702189,0.0018167632482207722,0.685748,50.86180865752135
SampleBaseModel_170,0.09187950336747959,0.0018282920612330829,0.701033,50.25428120357964
SampleBaseModel_171,0.09224091932279353,0.001819965854100115,0.706595,50.68277468777138
SampleBaseModel_172,0.09247352072186842,0.0018195762122306144,0.710604,50.82146056883505
SampleBaseModel_173,0.09195261296756355,0.0018336122395376556,0.689595,50.14834160942848
SampleBaseModel_174,0.09231262741063208,0.0018333396307039509,0.680334,50.35216926783316
SampleBaseModel_175,0.09272570744990422,0.0018228524849087855,0.635791,50.86846479217114
SampleBaseModel_176,0.09268243234326033,0.0018045606899119546,0.722129,51.360108230985766
SampleBaseModel_177,0.09491410174497453,0.0017361059589310044,0.591518,54.67068484887711
SampleBaseModel_178,0.09463623989890618,0.0017415933305401198,0.625244,54.3388851113461
SampleBaseModel_179,0.0941760024577175,0.0017646506657072372,0.640119,53.368071249373095
SampleBaseModel_180,0.09461014090711464,0.0017594168551032506,0.645723,53.77357880407625
SampleBaseModel_181,0.09484322539699813,0.0017703228012406079,0.653554,53.573972684831176
SampleBaseModel_182,0.09433431141169378,0.001775570820169074,0.627632,53.12900524165578
SampleBaseModel_183,0.09463111497787753,0.0017507560790861602,0.616429,54.05157012350458
SampleBaseModel_184,0.0950311394236414,0.0017454240435046096,0.584241,54.445875073904595
SampleBaseModel_185,0.04912516778520727,0.01387669057663267,0.629658,3.5401212928917256
SampleBaseModel_186,0.048853419048072826,0.013809534985114861,0.693754,3.5376585164331282
SampleBaseModel_187,0.04858337971154529,0.01363567497457785,0.705428,3.56296111502536
SampleBaseModel_188,0.04888393745784746,0.013828411831004523,0.709667,3.5350362756947504
SampleBaseModel_189,0.04894008446324612,0.014007823603167786,0.716562,3.493767900687913
SampleBaseModel_190,0.04868585859631967,0.01376619866871013,0.685722,3.5366232732773324
SampleBaseModel_191,0.04881489223646052,0.01390336480255032,0.663512,3.511012832483998
SampleBaseModel_192,0.048930352968718414,0.01384878394701403,0.615195,3.5331876904086155
SampleBaseModel_193,0.09564822617089348,0.0018229088381832453,0.603942,52.47010940284803
SampleBaseModel_194,0.09519786296009872,0.001859532226926012,0.637172,51.194521709080604
SampleBaseModel_195,0.09491154561363119,0.001839677201046866,0.647141,51.59141264544774
SampleBaseModel_196,0.09511775938544025,0.001834488855781459,0.651134,51.84973410204872
SampleBaseModel_197,0.09538416423239067,0.0018566062244899353,0.66182,51.37554909285922
SampleBaseModel_198,0.09496338486227368,0.00186251550514129,0.63947,50.98662781605664
SampleBaseModel_199,0.09522237714307324,0.0018503167131092458,0.625198,51.46274498221601
SampleBaseModel_200,0.09537410189451574,0.0018604494731561116,0.587731,51.264010805260305
SampleBaseModel_201,0.09231035712034931,0.0020482416143599736,0.695923,45.06809961928934
SampleBaseModel_202,0.09500221972641608,0.0020261130224218937,0.564671,46.88890435779152
SampleBaseModel_203,0.09447516573762955,0.0020383860986921505,0.599232,46.34802297672939
SampleBaseModel_204,0.09397908140571742,0.0020241053027113837,0.613082,46.42993686140146
SampleBaseModel_205,0.0944308168143174,0.0020204140083480973,0.613895,46.73834987489748
SampleBaseModel_206,0.0944969812657634,0.002030839253339646,0.62564,46.530999984546455
SampleBaseModel_207,0.0941204364947854,0.0020208900711198136,0.604707,46.573753733488076
SampleBaseModel_208,0.09445404391107541,0.0020399517296190058,0.58919,46.30209751517809
SampleBaseModel_209,0.09470109937287623,0.0019998336846806354,0.558716,47.35448757480029
SampleBaseModel_210,0.04924602313563288,0.01345730113167551,0.546145,3.659427893734103
SampleBaseModel_211,0.04928906697370838,0.013416246573441032,0.617322,3.6738343100581963
SampleBaseModel_212,0.0489988629632129,0.013222460782828056,0.631954,3.705729498313013
SampleBaseModel_213,0.0490577788399799,0.013407753742810438,0.628599,3.658911088390617
SampleBaseModel_214,0.049180345716147836,0.01360150860444545,0.633063,3.61580080169004
SampleBaseModel_215,0.04890655932049212,0.013369216299317734,0.606412,3.658147061543761
SampleBaseModel_216,0.049119581321586725,0.01352778670521233,0.578659,3.631013882164529
SampleBaseModel_217,0.04926246362243617,0.013494203266008607,0.52789,3.650638918899827
SampleBaseModel_218,0.04948469380915173,0.013405090068784051,0.57321,3.691485365278145
SampleBaseModel_219,0.04938509217382973,0.013266959762221977,0.647582,3.722412147088521
SampleBaseModel_220,0.049155342427793715,0.013130607661779424,0.664507,3.7435695052312847
SampleBaseModel_221,0.049262422365804304,0.0132830160936166,0.665611,3.708677458388255
SampleBaseModel_222,0.04948528489809683,0.013420088603415944,0.675047,3.6874037393092074
SampleBaseModel_223,0.04919867035632241,0.013230286241606987,0.635064,3.718639903768749
